#{"env_id": 1, "t_start": 1534924858.3933766}
r,l,t
-90.806238,100,2484.402723
-77.451951,100,2486.936167
-100,100,2489.52248
-100,100,2492.056519
-80.753064,100,2494.614404
-42.794678,100,2497.917278
-100,100,2500.302322
-90.495795,100,2502.951034
-100,100,2505.552679
-83.182047,100,2508.155452
-98.521814,100,2510.510104
-99.554426,100,2513.074476
-95.403734,100,2515.676777
-100,100,2518.26352
-96.409054,100,2520.849518
-100,100,2523.452277
-100,100,2526.037996
-100,100,2528.625509
-92.952278,100,2531.157904
-68.260161,100,2533.729697
-94.321949,100,2536.063227
-94.930174,100,2538.634656
-96.757209,100,2541.268107
-100,100,2543.853381
-92.125837,100,2546.400805
-98.026762,100,2548.939588
-100,100,2551.441402
-100,100,2553.943673
-99.011134,100,2556.546205
-99.09838,100,2559.111402
-100,100,2561.664467
-86.226106,100,2564.196667
-100,100,2566.750799
-100,100,2569.230794
-68.923366,100,2571.769152
-100,100,2574.353563
-100,100,2576.955284
-98.194052,100,2579.519996
-100,100,2582.089684
-99.923685,100,2584.676341
-96.01562,100,2587.258328
-76.521451,100,2589.578753
-78.123157,100,2591.92719
-72.63953,100,2594.298369
-99.684934,100,2596.868132
-79.931542,100,2599.383919
-100,100,2601.86972
-100,100,2604.432596
-99.993459,100,2607.002571
-99.949475,100,2609.57358
-85.005522,100,2612.075815
-99.575475,100,2614.608065
-100,100,2617.179187
-91.102302,100,2619.67963
-75.63467,100,2622.029085
-95.390335,100,2624.346733
-100,100,2626.88772
-46.929292,100,2629.438455
-72.951611,100,2631.971886
-100,100,2634.441029
-99.851478,100,2637.012516
-100,100,2639.612786
-95.728717,100,2642.162096
-100,100,2644.750047
-100,100,2647.303467
-100,100,2649.868963
-100,100,2652.43894
-65.653439,100,2654.971038
-100,100,2657.309517
-11.796742,100,2659.811177
-100,100,2662.060287
-100,100,2664.530646
-100,100,2667.017567
-100,100,2669.566387
-92.169851,100,2672.1018
-100,100,2674.655692
-100,100,2677.27397
-75.922756,100,2679.791362
-100,100,2682.13059
-100,100,2684.664982
-100,100,2687.215141
14.194292,100,2689.739588
-89.058499,100,2692.272206
-98.396136,100,2694.588796
-100,100,2697.145265
-81.730181,100,2699.624699
-74.383882,100,2702.210895
-78.532088,100,2704.649688
-99.818889,100,2707.228248
-80.395518,100,2709.766905
-94.394494,100,2712.031828
-18.774027,100,2714.555537
-100,100,2716.856915
-100,100,2719.336723
-100,100,2721.823458
-99.587903,100,2724.378077
-95.640316,100,2726.894509
-60.969614,100,2729.41384
-100,100,2731.970132
-97.011731,100,2734.47366
-79.715803,100,2736.975634
-100,100,2739.611027
-100,100,2742.128736
-97.650402,100,2744.662832
-100,100,2747.249712
-100,100,2750.529811
-100,100,2753.217113
-100,100,2755.802759
-100,100,2758.389075
-99.396069,100,2760.92387
-99.957516,100,2763.556889
-65.601307,100,2766.16017
-100,100,2768.748426
-99.922157,100,2771.3656
-100,100,2773.968665
-66.707629,100,2776.554419
-100,100,2779.158821
-100,100,2781.816378
-100,100,2784.418073
-82.78039,100,2787.019744
-100,100,2789.606163
-87.690523,100,2792.262334
-100,100,2794.880698
-100,100,2797.529354
-100,100,2800.101728
