EpLenMean,TotalRewardMean,EVAfter,KL,EVBefore,EpRewMean,EpRewSEM
100.0,-505402.8343849949,-1086865339529223.8,0.0035472042,-2303207867656124.5,-30.5153728753012,0.0
100.0,-505501.2843354443,-1034963107139566.5,0.006757043,-1173507323641352.2,-98.44995044939193,0.0
100.0,-505601.1052844463,-133698150413509.19,0.0079494435,-76440500455669.39,-99.82094900205914,0.0
100.0,-505701.1052844463,-1115095762372910.0,0.0077656955,-1376577059361808.0,-100.0,0.0
100.0,-505801.1052844463,-201682380465762.66,0.010044867,-426178774330078.5,-100.0,0.0
100.0,-505881.5720989401,-206705698580138.2,0.0055159484,-262709098974208.2,-80.4668144937325,0.0
100.0,-505981.5720989401,-1190991097124641.0,0.006953586,-996702838845226.9,-100.0,0.0
100.0,-506081.5720989401,-867295364635482.2,0.0057226424,-1304055831827281.0,-100.0,0.0
100.0,-506165.6824492058,-1878327579641149.8,0.0053109354,-2288957824179952.5,-84.1103502657161,0.0
100.0,-506223.76031122514,-842662527836671.0,0.003169915,-778864069755978.0,-58.07786201935095,0.0
100.0,-506323.76031122514,-586510056142131.0,0.010200544,-835121866972128.9,-100.0,0.0
100.0,-506423.76031122514,-540164351507901.2,0.007535887,-818227040768318.0,-100.0,0.0
100.0,-506523.76031122514,-317156189227307.5,0.009107903,-350901794431900.44,-100.0,0.0
100.0,-506623.76031122514,-2533679626571724.0,0.0065550413,-3040240548166175.5,-100.0,0.0
100.0,-506723.1871146682,-219728837403222.12,0.0051549794,-343618393222019.1,-99.42680344302838,0.0
100.0,-506775.5651190771,-433582096020581.0,0.0037606705,-434119218008990.25,-52.37800440887975,0.0
100.0,-506864.4409588231,-711974303553681.4,0.005070933,-1107641287928186.4,-88.87583974598566,0.0
100.0,-506931.4846429055,-526563698355255.44,0.008635459,-631187107305446.6,-67.0436840824054,0.0
100.0,-507031.4846429055,-197043784937262.8,0.0053267917,-320210490219910.4,-100.0,0.0
100.0,-507129.61298003775,-93670860668470.83,0.009653041,-204764618336417.5,-98.12833713227337,0.0
100.0,-507228.9508448129,-369149430112558.2,0.005867773,-639671882380837.6,-99.3378647751596,0.0
100.0,-507328.9508448129,-228675596326366.7,0.007929765,-232630275736305.34,-100.0,0.0
100.0,-507428.9508448129,-357750512570139.25,0.006673077,-520606318756185.44,-100.0,0.0
100.0,-507519.9978588693,-1095405399843396.5,0.0053225863,-1372549986488623.5,-91.04701405639972,0.0
100.0,-507619.9978588693,-454705388936880.8,0.0068334993,-735564120448932.0,-100.0,0.0
100.0,-507717.9854188294,-188612825468811.6,0.0038253425,-170524941051659.66,-97.98755996010404,0.0
100.0,-507817.9854188294,-143721214526378.6,0.009520225,-250619255444385.9,-100.0,0.0
100.0,-507904.7588362501,-1185122553874296.8,0.005286958,-1134840334744526.8,-86.77341742070068,0.0
100.0,-508004.7588362501,-301521000324548.3,0.009720851,-649864543424452.6,-100.0,0.0
100.0,-508094.0804801018,-192873161475739.62,0.0044494392,-154809684172910.44,-89.32164385169541,0.0
100.0,-508127.7242631008,-971302210613034.8,0.0033308298,-1037470840630859.9,-33.64378299903791,0.0
100.0,-508220.23714627343,-1257945958748063.5,0.003857382,-1308625178183411.5,-92.51288317260705,0.0
100.0,-508317.5936549855,-419417960021559.75,0.003911713,-385533189512030.56,-97.35650871205341,0.0
100.0,-508363.6995950156,-297854787855628.7,0.0047412687,-664846554684089.8,-46.10594003011738,0.0
100.0,-508463.6995950156,-545243571832898.1,0.012499528,-574921596826066.4,-100.0,0.0
100.0,-508562.78260247246,-368517224896603.94,0.0060899113,-450740647064655.2,-99.08300745683425,0.0
100.0,-508661.2011422163,-679713640833550.9,0.0053130346,-724393272081586.9,-98.4185397438334,0.0
100.0,-508761.2011422163,-138042750298786.17,0.005360187,-225800708690190.44,-100.0,0.0
